city,year,avg_temp,5 years ,10 years,15 years 
Pune,1796,24.39,#N/A,#N/A,#N/A
Pune,1797,25.17,#N/A,#N/A,#N/A
Pune,1798,24.05,#N/A,#N/A,#N/A
Pune,1799,24.68,#N/A,#N/A,#N/A
Pune,1800,24.67,24.592,#N/A,#N/A
Pune,1801,23.94,24.502,#N/A,#N/A
Pune,1802,25.18,24.504,#N/A,#N/A
Pune,1803,24.95,24.684,#N/A,#N/A
Pune,1804,25.33,24.814,#N/A,#N/A
Pune,1805,24.8,24.84,24.716,#N/A
Pune,1806,24.68,24.988,24.745,#N/A
Pune,1807,24,24.752,24.628,#N/A
Pune,1808,0,19.762,22.223,#N/A
Pune,1809,0,14.696,19.755,#N/A
Pune,1810,0,9.736,17.288,19.72266667
Pune,1811,0,4.8,14.894,18.09666667
Pune,1812,0,0,12.376,16.41866667
Pune,1813,24.03,4.806,12.284,16.41733333
Pune,1814,23.49,9.504,12.1,16.338
Pune,1815,23.58,14.22,11.978,16.26533333
Pune,1816,23.13,18.846,11.823,16.21133333
Pune,1817,23.37,23.52,11.76,16.09066667
Pune,1818,23.8,23.474,14.14,16.014
Pune,1819,23.54,23.484,16.494,15.89466667
Pune,1820,23.67,23.502,18.861,15.81933333
Pune,1821,24.24,23.724,21.285,15.79
Pune,1822,24.25,23.9,23.71,15.80666667
Pune,1823,24.28,23.996,23.735,17.42533333
Pune,1824,24.84,24.256,23.87,19.08133333
Pune,1825,24.54,24.43,23.966,20.71733333
Pune,1826,24.64,24.51,24.117,22.36
Pune,1827,24.64,24.588,24.244,24.00266667
Pune,1828,24.4,24.612,24.304,24.02733333
Pune,1829,24.23,24.49,24.373,24.07666667
Pune,1830,24.36,24.454,24.442,24.12866667
Pune,1831,24.08,24.342,24.426,24.192
Pune,1832,24.29,24.272,24.43,24.25333333
Pune,1833,24.29,24.25,24.431,24.286
Pune,1834,24.36,24.276,24.383,24.34066667
Pune,1835,23.56,24.116,24.285,24.33333333
Pune,1836,23.96,24.092,24.217,24.31466667
Pune,1837,23.92,24.018,24.145,24.29266667
Pune,1838,23.99,23.958,24.104,24.27333333
Pune,1839,24.04,23.894,24.085,24.22
Pune,1840,24.12,24.006,24.061,24.192
Pune,1841,23.87,23.988,24.04,24.14066667
Pune,1842,24.18,24.04,24.029,24.11
Pune,1843,23.92,24.026,23.992,24.078
Pune,1844,23.88,23.994,23.944,24.05466667
Pune,1845,24.17,24.004,24.005,24.042
