year,15 years ,15 years
1796,#N/A,#N/A
1797,#N/A,#N/A
1798,#N/A,#N/A
1799,#N/A,#N/A
1800,#N/A,#N/A
1801,#N/A,#N/A
1802,#N/A,#N/A
1803,#N/A,#N/A
1804,#N/A,#N/A
1805,#N/A,#N/A
1806,#N/A,#N/A
1807,#N/A,#N/A
1808,#N/A,#N/A
1809,#N/A,#N/A
1810,19.72266667,8.256666667
1811,18.09666667,8.162666667
1812,16.41866667,8.065333333
1813,16.41733333,8.003333333
1814,16.338,7.942
1815,16.26533333,7.859333333
1816,16.21133333,7.749333333
1817,16.09066667,7.642666667
1818,16.014,7.598
1819,15.89466667,7.5
1820,15.81933333,7.437333333
1821,15.79,7.414666667
1822,15.80666667,7.408666667
1823,17.42533333,7.414666667
1824,19.08133333,7.512666667
1825,20.71733333,7.610666667
1826,22.36,7.710666667
1827,24.00266667,7.828
1828,24.02733333,7.856666667
1829,24.07666667,7.88
1830,24.12866667,7.965333333
1831,24.192,8.012
1832,24.25333333,8.043333333
1833,24.286,8.055333333
1834,24.34066667,8.107333333
1835,24.33333333,8.092
1836,24.31466667,8.066
1837,24.29266667,8.012
1838,24.27333333,7.998
1839,24.22,7.936666667
1840,24.192,7.897333333
1841,24.14066667,7.852666667
1842,24.11,7.8
1843,24.078,7.8
1844,24.05466667,7.780666667
1845,24.042,7.736
1846,24.08266667,7.796666667
1847,24.07333333,7.839333333
1848,24.064,7.837333333
1849,24.04466667,7.826
1850,24.08933333,7.86
1851,24.10266667,7.892
1852,24.12133333,7.94
1853,24.14933333,7.975333333
1854,24.182,8.014
1855,24.21066667,8.034666667
1856,24.222,8.055333333
1857,24.18933333,8.038
1858,24.218,8.033333333
1859,24.25333333,8.073333333
1860,24.25466667,8.080666667
1861,24.21266667,8.034
1862,24.06,7.998666667
1863,22.45,8.007333333
1864,20.84533333,8.007333333
1865,20.87266667,8.026
1866,20.90533333,8.033333333
1867,20.938,8.056
1868,20.95133333,8.07
1869,20.96,8.084666667
1870,20.942,8.090666667
1871,20.96,8.098666667
1872,21.002,8.127333333
1873,21.00533333,8.144
1874,21.006,8.156
1875,21.026,8.149333333
1876,21.08133333,8.164666667
1877,21.29933333,8.23
1878,22.97066667,8.278
1879,24.57266667,8.290666667
1880,24.568,8.286666667
1881,24.55866667,8.285333333
1882,24.532,8.264666667
1883,24.484,8.246666667
1884,24.436,8.202666667
1885,24.44,8.184
1886,24.44733333,8.172666667
1887,24.422,8.154
1888,24.44333333,8.136666667
1889,24.46466667,8.129333333
1890,24.466,8.136666667
1891,24.44933333,8.132666667
1892,24.42066667,8.101333333
1893,24.342,8.05
1894,24.37666667,8.049333333
1895,24.37866667,8.051333333
1896,24.43066667,8.047333333
1897,24.47866667,8.058
1898,24.54533333,8.071333333
1899,24.61266667,8.113333333
1900,24.676,8.152
1901,24.702,8.191333333
1902,24.796,8.217333333
1903,24.77533333,8.226
1904,24.772,8.210666667
1905,24.768,8.228
1906,24.75933333,8.252
1907,24.74533333,8.244
1908,24.77266667,8.252666667
1909,24.76733333,8.254
1910,24.742,8.258666667
1911,24.708,8.256666667
1912,24.708,8.248666667
1913,24.69133333,8.256666667
1914,24.674,8.269333333
1915,24.64066667,8.275333333
1916,24.626,8.254666667
1917,24.53,8.236
1918,24.55333333,8.23
1919,24.55933333,8.249333333
1920,24.58733333,8.258
1921,24.60466667,8.270666667
1922,24.61,8.301333333
1923,24.62733333,8.316666667
1924,24.654,8.338666667
1925,24.68,8.359333333
1926,24.68533333,8.396
1927,24.654,8.419333333
1928,24.65866667,8.441333333
1929,24.66866667,8.418
1930,24.65666667,8.420666667
1931,24.676,8.453333333
1932,24.72133333,8.499333333
1933,24.696,8.513333333
1934,24.66133333,8.53
1935,24.628,8.540666667
1936,24.62133333,8.539333333
1937,24.612,8.558666667
1938,24.59733333,8.588
1939,24.57933333,8.604666667
